"","date","tweet"
"675",2017-04-24,4645
"676",2017-04-25,4622
"677",2017-04-26,4096
"678",2017-04-27,4146
"679",2017-04-28,4621
"680",2017-04-29,4106
"681",2017-04-30,4242
"682",2017-05-01,3881
"683",2017-05-02,4390
"684",2017-05-03,4206
"685",2017-05-04,4097
"686",2017-05-05,2627
"687",2017-05-06,1288
"688",2017-05-07,1244
"689",2017-05-08,1575
"690",2017-05-09,1675
"691",2017-05-10,1898
"692",2017-05-11,1832
"693",2017-05-12,1865
"694",2017-05-13,1165
"695",2017-05-14,1280
"696",2017-05-15,1636
"697",2017-05-16,1776
"698",2017-05-17,1795
"699",2017-05-18,1853
"700",2017-05-19,1732
"701",2017-05-20,1218
"702",2017-05-21,1179
"703",2017-05-22,1791
"704",2017-05-23,1873
"705",2017-05-24,1771
"706",2017-05-25,1781
"707",2017-05-26,1962
"708",2017-05-27,1274
"709",2017-05-28,1175
"710",2017-05-29,1526
"711",2017-05-30,1626
"712",2017-05-31,1882
"713",2017-06-01,1939
"714",2017-06-02,1543
"715",2017-06-03,1120
"716",2017-06-04,1033
"717",2017-06-05,1440
"718",2017-06-06,1508
"719",2017-06-07,1689
"720",2017-06-08,2018
"721",2017-06-09,2934
"722",2017-06-10,1818
"723",2017-06-11,1716
"724",2017-06-12,2479
"725",2017-06-13,2907
"726",2017-06-14,3083
"727",2017-06-15,2347
"728",2017-06-16,1570
"729",2017-06-17,1287
"730",2017-06-18,1194
"731",2017-06-19,1251
"732",2017-06-20,1322
"733",2017-06-21,1559
"734",2017-06-22,1521
"735",2017-06-23,1874
"736",2017-06-24,1089
"737",2017-06-25,1002
"738",2017-06-26,1449
"739",2017-06-27,1475
"740",2017-06-28,1558
"741",2017-06-29,1827
"742",2017-06-30,2100
"743",2017-07-01,1194
"744",2017-07-02,1447
"745",2017-07-03,1517
"746",2017-07-04,1427
"747",2017-07-05,2257
"748",2017-07-06,2773
"749",2017-07-07,2816
"750",2017-07-08,2308
"751",2017-07-09,1863
"752",2017-07-10,2545
"753",2017-07-11,2762
"754",2017-07-12,2690
"755",2017-07-13,2826
"756",2017-07-14,2960
"757",2017-07-15,2458
"758",2017-07-16,2139
"759",2017-07-17,2386
"760",2017-07-18,3350
"761",2017-07-19,2675
"762",2017-07-20,2441
"763",2017-07-21,2491
"764",2017-07-22,2226
"765",2017-07-23,2021
"766",2017-07-24,2474
"767",2017-07-25,2801
"768",2017-07-26,2670
"769",2017-07-27,3778
"770",2017-07-28,3800
"771",2017-07-29,3498
"772",2017-07-30,4169
"773",2017-07-31,6132
"774",2017-08-01,7033
"775",2017-08-02,7644
"776",2017-08-03,8608
"777",2017-08-04,7628
"778",2017-08-05,7454
"779",2017-08-06,5108
"780",2017-08-07,8717
"781",2017-08-08,8666
"782",2017-08-09,8689
"783",2017-08-10,8738
"784",2017-08-11,7798
"785",2017-08-12,12981
